pair,count,share
CEO|risk_external,56,0.2916666666666667
Analyst|risk_external,45,0.234375
CEO|risk_legal,18,0.09375
CFO|risk_external,9,0.046875
President|risk_external,8,0.041666666666666664
IR|risk_external,8,0.041666666666666664
Operator|risk_uncertainty,6,0.03125
President|risk_legal,4,0.020833333333333332
IR|risk_legal,4,0.020833333333333332
IR|risk_uncertainty,4,0.020833333333333332
CTO|risk_external,3,0.015625
CEO|risk_uncertainty,3,0.015625
Analyst|risk_uncertainty,3,0.015625
Operator|risk_legal,3,0.015625
President|risk_uncertainty,2,0.010416666666666666
CEO|risk_constraint,2,0.010416666666666666
Analyst|risk_constraint,2,0.010416666666666666
COO|risk_uncertainty,1,0.005208333333333333
President|risk_constraint,1,0.005208333333333333
COO|risk_legal,1,0.005208333333333333
SVP|risk_uncertainty,1,0.005208333333333333
CIO|risk_uncertainty,1,0.005208333333333333
SVP|risk_external,1,0.005208333333333333
Chair|risk_external,1,0.005208333333333333
Operator|risk_external,1,0.005208333333333333
VP|risk_external,1,0.005208333333333333
Analyst|risk_legal,1,0.005208333333333333
COO|risk_external,1,0.005208333333333333
CIO|risk_external,1,0.005208333333333333
