company_id,role,risk_bucket,a_mij
ACE Aviation Holdings,Analyst,risk_uncertainty,0.2512601613998413
ACE Aviation Holdings,Analyst,risk_legal,0.3251882493495941
ACE Aviation Holdings,Analyst,risk_constraint,0.2562634944915771
ACE Aviation Holdings,Analyst,risk_external,0.167288064956665
ACE Aviation Holdings,Operator,risk_uncertainty,0.219765156507492
ACE Aviation Holdings,Operator,risk_legal,0.2466762065887451
ACE Aviation Holdings,Operator,risk_constraint,0.2118384391069412
ACE Aviation Holdings,Operator,risk_external,0.3217202126979828
AG&E Holdings,Analyst,risk_uncertainty,0.2394524216651916
AG&E Holdings,Analyst,risk_legal,0.2400169819593429
AG&E Holdings,Analyst,risk_constraint,0.2288511991500854
AG&E Holdings,Analyst,risk_external,0.2916794419288635
AG&E Holdings,CEO,risk_uncertainty,0.2366205751895904
AG&E Holdings,CEO,risk_legal,0.2275647222995758
AG&E Holdings,CEO,risk_constraint,0.234199121594429
AG&E Holdings,CEO,risk_external,0.3016155958175659
AG&E Holdings,CFO,risk_uncertainty,0.2587382197380066
AG&E Holdings,CFO,risk_legal,0.2524115741252899
AG&E Holdings,CFO,risk_constraint,0.2458813935518264
AG&E Holdings,CFO,risk_external,0.2429688721895218
AG&E Holdings,IR,risk_uncertainty,0.2645747661590576
AG&E Holdings,IR,risk_legal,0.2731503546237945
AG&E Holdings,IR,risk_constraint,0.2753672897815704
AG&E Holdings,IR,risk_external,0.1869075745344162
AG&E Holdings,Operator,risk_uncertainty,0.2074491828680038
AG&E Holdings,Operator,risk_legal,0.228162944316864
AG&E Holdings,Operator,risk_constraint,0.2134947478771209
AG&E Holdings,Operator,risk_external,0.3508931398391723
AG&E Holdings,President,risk_uncertainty,0.2514489591121673
AG&E Holdings,President,risk_legal,0.27325439453125
AG&E Holdings,President,risk_constraint,0.2716276049613952
AG&E Holdings,President,risk_external,0.2036690562963485
Acorda Therapeutics,Analyst,risk_uncertainty,0.2097126245498657
Acorda Therapeutics,Analyst,risk_legal,0.2198299765586853
Acorda Therapeutics,Analyst,risk_constraint,0.201127290725708
Acorda Therapeutics,Analyst,risk_external,0.3693300783634186
Acorda Therapeutics,CEO,risk_uncertainty,0.2516636848449707
Acorda Therapeutics,CEO,risk_legal,0.2677291631698608
Acorda Therapeutics,CEO,risk_constraint,0.2371930181980133
Acorda Therapeutics,CEO,risk_external,0.2434141486883163
Acorda Therapeutics,CFO,risk_uncertainty,0.2254131287336349
Acorda Therapeutics,CFO,risk_legal,0.2446018308401107
Acorda Therapeutics,CFO,risk_constraint,0.2181777209043502
Acorda Therapeutics,CFO,risk_external,0.3118073046207428
Acorda Therapeutics,CTO,risk_uncertainty,0.2063415795564651
Acorda Therapeutics,CTO,risk_legal,0.2134849578142166
Acorda Therapeutics,CTO,risk_constraint,0.1962286680936813
Acorda Therapeutics,CTO,risk_external,0.3839448094367981
Acorda Therapeutics,Operator,risk_uncertainty,0.1973452419042587
Acorda Therapeutics,Operator,risk_legal,0.2137264162302017
Acorda Therapeutics,Operator,risk_constraint,0.1960078775882721
Acorda Therapeutics,Operator,risk_external,0.3929204642772674
Acorda Therapeutics,President,risk_uncertainty,0.298095703125
Acorda Therapeutics,President,risk_legal,0.301025390625
Acorda Therapeutics,President,risk_constraint,0.29833984375
Acorda Therapeutics,President,risk_external,0.1025390625
Activision Blizzard,Analyst,risk_uncertainty,0.2196078449487686
Activision Blizzard,Analyst,risk_legal,0.3685969412326813
Activision Blizzard,Analyst,risk_constraint,0.2656900882720947
Activision Blizzard,Analyst,risk_external,0.1461051404476165
Activision Blizzard,Operator,risk_uncertainty,0.2078188210725784
Activision Blizzard,Operator,risk_legal,0.21587635576725
