company_id,Analyst|risk_constraint,Analyst|risk_external,Analyst|risk_legal,Analyst|risk_uncertainty,CEO|risk_constraint,CEO|risk_external,CEO|risk_legal,CEO|risk_uncertainty,CFO|risk_constraint,CFO|risk_external,CFO|risk_legal,CFO|risk_uncertainty,CIO|risk_constraint,CIO|risk_external,CIO|risk_legal,CIO|risk_uncertainty,COO|risk_constraint,COO|risk_external,COO|risk_legal,COO|risk_uncertainty,CTO|risk_constraint,CTO|risk_external,CTO|risk_legal,CTO|risk_uncertainty,Chair|risk_constraint,Chair|risk_external,Chair|risk_legal,Chair|risk_uncertainty,EVP|risk_constraint,EVP|risk_external,EVP|risk_legal,EVP|risk_uncertainty,Head|risk_constraint,Head|risk_external,Head|risk_legal,Head|risk_uncertainty,IR|risk_constraint,IR|risk_external,IR|risk_legal,IR|risk_uncertainty,Operator|risk_constraint,Operator|risk_external,Operator|risk_legal,Operator|risk_uncertainty,President|risk_constraint,President|risk_external,President|risk_legal,President|risk_uncertainty,SVP|risk_constraint,SVP|risk_external,SVP|risk_legal,SVP|risk_uncertainty,VP|risk_constraint,VP|risk_external,VP|risk_legal,VP|risk_uncertainty,prior_z1,prior_z2,prior_z3
ACE Aviation Holdings,7.563678456355419,2.3749169615215253,6.607057549626529,7.312300107500942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5766578606769976,2.5401080152875584,2.7285684086998034,2.583430931967041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8683036209067972,-1.09669818050225,-1.3469433573464673
AG&E Holdings,6.754597989685565,4.140848028479703,4.87657846144443,6.968665302643745,2.3065257115020454,2.036721796775351,2.1581001257499346,2.2487802706165283,2.095766499398065,1.5754811300631324,2.0262836903952,2.099111703637216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3154553954434585,1.287805744646218,2.20933884211094,2.17455042119936,2.5968040675239865,2.7704397853659883,2.5237869939229576,2.4386515330705656,2.3814921790206647,1.451045209969898,2.2822507267759673,2.1503725929961868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.152177785209144,-3.38071960244833,-3.4894985959835108
Acorda Therapeutics,5.93632018819275,5.24322083426915,4.466426167493059,6.1031627079152875,2.3360113024245615,1.6437044673806513,2.5389978502167794,2.3917460637418104,1.8596346465312343,2.0218496312673446,1.9635894359824564,1.8287492940060257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9416265394978685,2.8570221681315804,1.9978948088566897,1.944042619890272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3841057395984535,3.1022620938589647,2.3640997058244895,2.3198754994384188,2.61569145257475,0.7305420773341923,2.5141971374713137,2.5492920406323116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301785246385183,-2.9167599384991467,-3.5183413838880155
Activision Blizzard,7.841906630976907,2.0741920608885884,7.489019693090189,6.391138409210402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.468127020179929,2.948054933672619,2.387880909461956,2.4429967840944795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8675178624391702,-1.0949934366779883,-1.3485040387122793
Airspan Networks Holdings,6.659447004496497,4.357169276508016,4.6278362104284705,6.975325470099988,2.4166934311833774,1.929721725439029,2.1200930222931973,2.3311496717515325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6920513129467114,-1.4305674741462238,-1.4014696172709282
Allkem Ltd.,6.345320548365838,4.924011942844603,4.746564259060476,5.952985428955498,2.9408039666688044,0.6535077449713786,3.0569573684673594,2.6826614267268654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7007734556176033,-1.438149094379926,-1.397878967154939
AmericanWest Bancorporation,6.273298362128088,4.3588205998933764,5.217417095535316,6.508187014352975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7495712679962017,2.1106541063196693,2.88711526050795,2.887233100366155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8638711835625303,-1.098329893093128,-1.3428828738983885
Argo Group International Holdings,6.403904738803053,4.499249512904387,4.774973104791485,6.725277770219315,2.0172759931857285,2.408468090692411,2.0783487152328064,2.0846301691843605,1.8318986204971939,2.068757239483995,1.876612631230829,1.8843600211157834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3060076068064803,5.002261387149917,3.4282723946685962,3.2721923238301898,2.0096033231128723,1.843751585893947,2.0282328885649066,1.994361068292372,2.471735296033121,2.9946407854433734,2.4109782469094325,2.3456013964441844,1.9229300829247304,2.2147705534240734,1.9932017253375716,1.9768865150381372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.239822048874777,-3.7624137180052264,-3.5402085760836983
Audacy,6.336045806746357,4.7389998369736315,4.542475249385832,6.633731908127057,2.0836037138092784,2.328876565578921,2.06807006283489,2.1429415748819847,1.9021974192974673,2.2487870760650797,1.7138347080306675,1.7567072620713224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4266802409590764,3.0363431983117413,2.2511436036955508,2.4969186411830178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.915564238210807,-2.144718981707335,-2.4982603327235715
Avid Technology,6.856982552047226,3.713264429097112,4.979367898448356,7.5970116415579305,2.380280119833579,1.6725911680890462,2.3364261811943163,2.511376814948398,2.0632695098198504,1.5176862778447602,2.023605592830804,2.205059637211387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.415378748278136,1.9884615267534833,2.3716416960556397,2.2163863412850344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1304478682408425,1.503053505792161,2.052198756560959,2.2583012904901247,2.9631760148257853,1.9195544405755058,2.7711754645320084,3.0885335192429233,2.057203237413177,1.8257729916590335,2.071324210637616,2.232856800723076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.678379784765648,-3.4148762769324637,-3.9623011532981893
