company_id,prior_z1,prior_z2,prior_z3
ACE Aviation Holdings,0.3306709122411022,-0.8583398151764278,-2.5950442622634555
AG&E Holdings,1.2004251493189704,-2.6459478918802426,-6.7229280728796965
Acorda Therapeutics,0.8765752081172052,-2.282826060109644,-6.778497084635856
Activision Blizzard,0.3303716765094579,-0.8570055834570228,-2.5980510978527045
Airspan Networks Holdings,0.6443738546506662,-1.1196453529208346,-2.700095493399422
Allkem Ltd.,0.647695456454732,-1.1255791701057538,-2.6931776850665976
AmericanWest Bancorporation,0.3289829334456785,-0.8596168884027496,-2.58722126494402
Argo Group International Holdings,0.8529781315269408,-2.9446839182781313,-6.820626793602246
Audacy,0.7294929548308198,-1.678581880678404,-4.8131913689723795
Avid Technology,1.0199914700708703,-2.6726808929784354,-7.633837619930044
Axion International Holdings,0.8756782911843658,-2.078497340309863,-5.65217175130108
BSQUARE Corp.,0.4030143096961842,-1.9428958314196638,-7.398745749808856
Basic Energy Services,0.7286145514932528,-1.6790141053475223,-4.809510563984048
Boardriders,0.3313356942148538,-0.8609329570802396,-2.5899361317543996
BowFlex,0.6032433364477152,-3.407727066538549,-6.834717193235547
CDC Corp.,0.8698362079610474,-2.076846461613865,-5.644989123167326
CIRCOR International,0.5371381026044516,-1.2079736179700182,-3.8409837660300874
CWC Energy Services Corp.,0.64368621892701,-1.1196778259391453,-2.698239936823505
CalAmp Corp.,1.0202547962786517,-2.6735118052565587,-7.632476562960067
Callon Petroleum Co.,1.0181012220802905,-2.6691651633640854,-7.6383211978953085
Cambridge Bancorp,0.6485313841382534,-1.1253342289220676,-2.695988520636836
Cano Petroleum,0.33097591976226903,-0.8626559880684325,-2.584204342003141
Carrols Restaurant Group,0.5346497685845872,-1.2028747857604525,-3.8480267198684155
Centamin Plc,-0.003951756564129065,-2.678573894794788,-6.615412535385087
Cineworld Group Plc,0.46677300264621596,-1.1443966033389676,-3.6228470368745147
Cloud Peak Energy,1.195395536847613,-2.6435977222723372,-6.717951130880791
Cobalt International Energy,0.7345690810688753,-1.6800685274805456,-4.820847384780918
Coldwater Creek,0.5348777622030108,-1.2053784183142306,-3.8418890020889047
Computer Task Group,0.3382673508509281,-2.6800125910384294,-8.511499850157758
Consolidated Communications Holdings,0.9263614284568716,-3.0924709727610433,-6.726941185955445
Constar International,0.8698498847216993,-2.065529648898452,-5.672446630723782
Corinthian Colleges,0.3297737691488983,-0.8553068232166932,-2.6009241967407815
Crestwood Equity Partners LP,0.7293312063441952,-1.6879809745309484,-4.79009927857072
Denbury,0.7332251458524521,-1.6885403995958705,-4.7971133430936215
Dex Liquidating Co.,1.1990901575710817,-2.649177186561089,-6.712421832315087
Diamond Offshore Drilling,0.7345353493063156,-1.6854365909977702,-4.808175778635985
Dune Energy,0.5189285494805992,-1.1841401258787085,-3.856309326786122
DynaVox,0.34845312192290917,-1.2172486779392488,-4.776623798551481
Eagle Bulk Shipping,0.8743154361548867,-2.070208126486319,-5.6700102785061
Ebix,1.198324262007795,-2.649947042042522,-6.707255591880375
