role,risk_bucket,z_label,sum_s,mean_s,N_sent
Analyst,risk_constraint,1,111744.876949438,0.2240489801533387,498752
Analyst,risk_constraint,2,40155.6124263858,0.22269578088680872,180316
Analyst,risk_constraint,3,17236.056965726,0.22212272337495004,77597
Analyst,risk_external,1,151538.063964696,0.30383449883849284,498752
Analyst,risk_external,2,55212.17634853,0.3061967676109164,180316
Analyst,risk_external,3,24449.911100974,0.31508835523247036,77597
Analyst,risk_legal,1,118131.7056737545,0.23685460043018275,498752
Analyst,risk_legal,2,42549.9763033938,0.23597449091258568,180316
Analyst,risk_legal,3,18476.9260701245,0.2381139228336727,77597
Analyst,risk_uncertainty,1,117337.212546926,0.23526163814265608,498752
Analyst,risk_uncertainty,2,42398.1508291233,0.2351324942274856,180316
Analyst,risk_uncertainty,3,17434.1705931206,0.22467583273993327,77597
CEO,risk_constraint,1,5115.2093772156,0.22752465871433147,22482
CEO,risk_constraint,2,2846.6936303694,0.22281571934638386,12776
CEO,risk_constraint,3,525.9383695385,0.23118170089604392,2275
CEO,risk_external,1,6677.599577335,0.2970198192925451,22482
CEO,risk_external,2,3947.153716582,0.30895066660785847,12776
CEO,risk_external,3,662.114014149,0.2910391270984615,2275
CEO,risk_legal,1,5291.5542333857,0.23536848293682502,22482
CEO,risk_legal,2,2957.4129556715,0.23148191575387447,12776
CEO,risk_legal,3,549.3793599166,0.24148543293037364,2275
CEO,risk_uncertainty,1,5397.6615178303,0.24008813796950004,22482
CEO,risk_uncertainty,2,3024.7713814164,0.23675417825738884,12776
CEO,risk_uncertainty,3,537.5729368574,0.23629579642083517,2275
CFO,risk_constraint,1,4488.1716989502,0.22524198027452574,19926
CFO,risk_constraint,2,2098.9425659355,0.22588706047519375,9292
CFO,risk_constraint,3,984.2424845515,0.23529583661283768,4183
CFO,risk_external,1,6030.6792305339995,0.302653780514604,19926
CFO,risk_external,2,2770.856872119,0.29819811365895393,9292
CFO,risk_external,3,1146.971253315,0.27419824368037293,4183
CFO,risk_legal,1,4737.3585400327,0.23774759309609053,19926
CFO,risk_legal,2,2215.3005939505,0.2384094483373332,9292
CFO,risk_legal,3,1037.0858380825,0.24792872055522353,4183
CFO,risk_uncertainty,1,4669.7786781623,0.23435605129791728,19926
CFO,risk_uncertainty,2,2206.8973003949,0.2375050904428433,9292
CFO,risk_uncertainty,3,1014.7122073556,0.24258001610222327,4183
CIO,risk_constraint,1,116.2437858165,0.23389091713581486,497
CIO,risk_external,1,135.798065125,0.2732355435110664,497
CIO,risk_legal,1,117.9328269864,0.23728939031468813,497
CIO,risk_uncertainty,1,127.0267487515,0.25558701962072433,497
COO,risk_constraint,1,148.0146331613,0.23873327929241936,620
COO,risk_constraint,2,101.1430892899,0.2385450219101415,424
COO,risk_constraint,3,229.0810547135,0.23046383773993964,994
COO,risk_external,1,165.449432305,0.2668539230725806,620
COO,risk_external,2,123.155242817,0.29046047834198113,424
COO,risk_external,3,269.13323974,0.27075778645875254,994
COO,risk_legal,1,152.2635649697,0.24558639511241936,620
