gvkey,datadate,conm,tic,cusip,dldte,dlrsn
15381,2010/1/4,DWS STRATEGIC MUN INCM TRUST,KSM,23342Q101,2024/11/14,3
24368,2010/1/4,RETAIL HOLDINGS NV,RHDGF,N74108106,2024/8/20,3
184336,2010/2/18,CANADIAN HIGH INCOME EQUITY,CIQ.UN,136012200,2024/8/16,3
178071,2010/1/4,ISHARES INTL DEV PROPRTY ETF,WPS,464288422,2024/8/13,3
111959,2010/1/4,MONTANA EXPLORATION CORP,MTZ.,612042200,2024/4/16,3
184329,2010/2/18,VANECK EGYPT INDEX ETF,EGPT,92189F775,2024/3/22,3
14999,2010/1/4,ACE AVIATION HOLDINGS INC,ACE.H,00440P409,2024/3/18,3
183953,2010/1/4,GLOBAL X MSCI CHINA INDUSTRI,CHII,37950E705,2024/2/20,3
183992,2010/1/4,GLOBAL X MSCI CHINA COMN SER,CHIC,37950E804,2024/2/20,3
184010,2010/1/4,GLOBAL X MSCI CHINA FINANCIA,CHIX,37950E606,2024/2/20,3
184029,2010/1/4,GLOBAL X MSCI CHINA ENERGY,CHIE,37950E507,2024/2/20,3
184148,2010/1/14,GLOBAL X MSCI CHINA MATERILS,CHIM,3.80E+246,2024/2/20,3
176800,2010/1/4,WISDOMTREE US TOTAL MAR FUND,RESP,97717W596,2024/1/29,3
183753,2010/1/4,INDEXIQ REAL RETURN ETF,CPI,45409B602,2023/12/13,3
183754,2010/1/4,INDEXIQ GLOBAL RESOURCES ETF,GRES,45409B883,2023/12/13,3
180079,2010/1/4,WISDOMTREE CHINESE YUAN STRT,CYB,97717W182,2023/10/23,3
184666,2010/4/13,FIRST TRUST BICK INDEX FUND,BICK,33733H107,2023/7/17,3
66568,2010/1/4,FIRST MIAMI BANCORP INC,FMIA,320851108,2023/6/30,3
163732,2010/1/4,INVESCO BLDRS EMERGING MRKT,ADRE,46090C305,2023/3/31,3
175550,2010/1/4,INVS DB G10 CURR HARVEST FD,DBV,46139B102,2023/3/6,3
176392,2010/1/4,INVS DB GOLD FUND,DGL,46140H601,2023/3/6,3
176396,2010/1/4,INVESCO DB SILVER FUND,DBS,46140H205,2023/3/6,3
137069,2010/1/4,TIKCRO TECHNOLOGIES LTD,TIKRF,M8790M112,2023/3/2,3
21169,2010/1/4,NEW IRELAND FUND INC,IRL,645673104,2023/2/28,3
183081,2010/1/4,INDEXIQ HEDG MACRO TRCKR ETF,MCRO,45409B206,2023/2/1,3
164606,2010/1/4,TOWN SPORTS INTL HOLDINGS,CLUBQ,89214A102,2023/1/24,3
177430,2010/1/4,FIRST TRUST CHINDIA ETF,FNI,33733A102,2023/1/17,3
177301,2010/1/4,VANECK RUSSIA ETF,RSX,92189F403,2023/1/13,3
163768,2010/1/4,GTT COMMUNICATIONS INC,GTTNQ,362393100,2022/12/30,3
175055,2010/1/4,HILL INTERNATIONAL INC,HIL,431466101,2022/12/26,3
107600,2010/1/4,MYRIAD INTERACTIVE MEDIA INC,MYRY,62856T101,2022/12/23,3
108522,2010/1/4,TIGER INTL RESOURCES INC,TGR.H,886917103,2022/12/19,3
175464,2010/1/4,FIRST TR ABRDN EMERG OPP FD,FEO,33731K102,2022/12/2,3
216447,2010/1/4,MERRILL LYN DEP 6.30 TR CTF,PYS,73941X593,2022/11/3,3
64592,2010/1/4,ARCTIC GLACIER INCOME FUND,AG.UN,39675103,2022/10/27,3
178637,2010/1/4,SWEDISH EXPORT CR TOT RETURN,RJI,870297801,2022/10/24,3
5888,2010/1/4,TELIGENT INC,TLGTQ,87960W203,2022/7/27,3
114829,2010/1/4,EASTERN LIGHT CAPITAL INC,ELCI,276650108,2022/7/13,3
126004,2010/1/4,GLOBAL AGRICULTURAL HOLDINGS,GAHD,37949X103,2022/7/13,3
144343,2010/1/4,SHANDONG ZHOUYUAN SEED & NUR,SZSN,81941R102,2022/7/5,3
163598,2010/1/4,TEXCOM INC,TEXC,88289Q307,2022/6/17,3
6831,2010/1/4,LUBYS INC,LUB,549282101,2022/5/31,3
180221,2010/1/4,PROSHARES SHORT OIL & GAS,DDG,74347R222,2022/5/3,3
184516,2010/3/18,PROSHARES SHORT BASIC MATRLS,SBM,74347G341,2022/5/3,3
178194,2010/1/4,MBN CORP,MBN.,55278P103,2022/4/22,3
211603,2010/1/4,IMPERIAL LOGISTICS LTD,IHLDY,452833205,2022/3/29,3
134450,2010/1/4,KIEWIT ROYALTY TRUST,KIRY,493939102,2022/3/28,3
166711,2010/1/4,SEQUENTIAL BRANDS GROUP INC,SQBGQ,81734P206,2022/3/4,3
289259,2010/1/4,VIGIE SA,SZSAY,864691209,2022/2/28,3
25160,2010/1/4,EMPRESAS ICA SAB DE CV,ICAYY,292448206,2022/2/16,3
147501,2010/1/4,TRITON EMISSION SOLUTIONS,DSOX,89678J102,2022/2/16,3
10564,2010/1/4,TIDELANDS ROYALTY TRUST B,TIRTZ,886410109,2022/2/15,3
104027,2010/1/4,CP POKPHAND CO LTD,CPKPY,125918201,2022/2/10,3
116674,2010/1/4,VISTA INTL TECHNOLOGIES INC,VVIT,928366202,2022/2/8,3
165540,2010/1/4,YUS INTERNATIONAL GROUP LTD,YUSG,98871Y105,2022/2/8,3
180157,2010/1/4,GELTECH SOLUTIONS INC,GLTC,368537106,2022/2/7,3
5408,2010/1/4,HMG COURTLAND PROPERTIES,HMG,404232100,2022/1/25,3
66396,2010/1/4,AGF MASTER LP,AFP.UN,941203,2022/1/21,3
183950,2010/1/4,DIREXION DAILY LAT AM BUL 3X,LBJ,2.55E+277,2022/1/18,3
8336,2010/1/4,PARADISE INC,PARF,699058103,2021/12/29,3
227396,2010/1/4,FUNAI ELECTRIC CO LTD,FUAIY,36076N201,2021/11/26,3
100132,2010/1/4,MORRISON (WM) SUPERMARKETS,MRWSY,92933J107,2021/11/24,3
157554,2010/1/4,POPULAR CAPITAL TRUST I,BPOPN,73317W203,2021/11/1,3
179246,2010/1/4,QUEST RARE MINERALS LTD,QRM.,74836T101,2021/10/4,3
65812,2010/1/4,ECHO THERAPEUTICS INC,ECTE,27876L206,2021/9/8,3
184948,2010/5/14,ATHERONOVA INC,AHROQ,47438304,2021/9/8,3
274245,2010/1/4,KAZ MINERALS LIMITED,KZMYY,48667P107,2021/9/7,3
175887,2010/1/4,VOYA NATURAL RES EQ INCM FD,IRR,92913C106,2021/6/14,3
178395,2010/1/4,VOYA INTL HI DIV EQ INCM FD,IID,92912Y109,2021/4/1,3
185466,2010/1/4,SEGALL BRYANT & H S C V D FD,WTSVX,81580H704,2020/9/29,3
185467,2010/1/4,SEGALL BRYANT & HA S C V D F,WISVX,81580H787,2020/9/29,3
185465,2010/1/4,SEGALL BRYA & H M C V D FUND,WTMCX,81580H605,2020/9/22,3
185473,2010/1/4,SEGALL BRYANT & HAM M C FUND,WTMIX,81580H803,2020/4/20,3
185459,2010/1/4,SEGALL BRYA & H M C V D F II,WTMGX,81580H209,2018/12/22,3
185460,2010/1/4,SEGALL BRY & H M C V D FD II,WIMGX,81580H829,2018/12/22,3
185462,2010/1/4,SEGALL BRYANT & H S C G F II,WTSLX,81580H308,2018/12/22,3
6130,2010/1/4,INTERPHASE CORP,INPHQ,460593106,2018/7/9,3
177006,2010/1/4,SPDR S&P EMERGING LATIN AMER,GML,78463X707,2017/7/25,3
180485,2010/1/4,SPDR S&P INTL FINANCIAL SECT,IPF,78463X699,2017/7/25,3
180488,2010/1/4,SPDR S&P INTL TELECOMMS SECT,IST,78463X640,2017/7/25,3
124374,2010/1/4,ACME COMMUNICATIONS INC,ACME,4631107,2017/1/3,3
281558,2010/1/4,UTILITY SPLIT TRUST,UST.PR.A,918028200,2017/1/3,3
28266,2010/1/4,OPTI INC,OPTI.,683960108,2016/12/27,3
108595,2010/1/4,SUNRIDGE GOLD CORP,SGC.,86769Q102,2016/12/9,3
125360,2010/1/4,SYCAMORE NETWORKS INC,SCMR,871206405,2016/11/22,3
14725,2010/1/4,DEUTSCHE HIGH INCOME TRUST,KHI,25155R100,2016/11/7,3
161049,2010/1/4,ACCREDITED MTG LN REIT TR,AHHAP,00438G205,2016/10/31,3
180555,2010/1/4,VANECK VECTORS GULF STATES,MES,92189F858,2016/10/10,3
175709,2010/1/4,WISDOMTREE COMMDTY COUNTRY,CCXE,97717W752,2016/9/23,3
175713,2010/1/4,WISDOMTREE GLOBAL NATRL RES,GNAT,97717W711,2016/9/23,3
